id,tcga_code
ACH-001121,
ACH-000895,COAD/READ
ACH-000922,ALL
ACH-000212,BRCA
ACH-000896,BLCA
ACH-000689,SARC
ACH-000369,LAML
ACH-000487,LAML
ACH-000821,MM
ACH-000534,DLBC
ACH-000711,BRCA
ACH-000058,THCA
ACH-000838,MM
ACH-000745,MM
ACH-001041,LUAD
ACH-000993,UCEC
ACH-001108,PAAD
ACH-001107,PAAD
ACH-001118,GBM
ACH-001120,BRCA
ACH-000544,ESCA
ACH-001187,SKCM
ACH-001199,COAD/READ
ACH-000590,LUAD
ACH-001090,HNSC
ACH-001091,COAD/READ
ACH-000299,LAML
ACH-000034,LAML
ACH-001656,LAML
ACH-000964,ALL
ACH-000861,LUAD
ACH-000706,LUAD
ACH-001151,OV
ACH-000428,KIRC
ACH-001208,KIRC
ACH-000655,GBM
ACH-000273,LGG
ACH-000504,GBM
ACH-000825,
ACH-001011,BLCA
ACH-000084,LAML
ACH-000757,UNABLE TO CLASSIFY
ACH-000160,
ACH-000206,
ACH-000003,COAD/READ
ACH-000143,
ACH-000975,
ACH-000339,
ACH-000872,
ACH-000512,
ACH-001099,
ACH-001109,
ACH-001128,
ACH-000533,
ACH-000010,
ACH-000700,
ACH-000251,
ACH-000033,
ACH-000337,LUAD
ACH-001142,
ACH-000854,
ACH-000436,
ACH-000057,MM
ACH-000779,LUAD
ACH-001192,KIRC
ACH-001193,
ACH-001200,
ACH-000556,CESC
ACH-000172,
ACH-000597,
ACH-001210,
ACH-001211,
ACH-001212,
ACH-001020,
ACH-001050,
ACH-001052,
ACH-001053,
ACH-001054,
ACH-001055,
ACH-001096,
ACH-001122,
ACH-001123,
ACH-001170,
ACH-001196,
ACH-001201,
ACH-002212,HNSC
ACH-002213,HNSC
ACH-001331,HNSC
ACH-001332,HNSC
ACH-002043,HNSC
ACH-002234,HNSC
ACH-002239,HNSC
ACH-002244,HNSC
ACH-002045,HNSC
ACH-002249,HNSC
ACH-002250,HNSC
ACH-001542,HNSC
ACH-002260,HNSC
ACH-002265,HNSC
ACH-001625,HNSC
ACH-001626,HNSC
ACH-002294,HNSC
ACH-002295,HNSC
ACH-002296,HNSC
ACH-002297,HNSC
ACH-002298,HNSC
ACH-001385,HNSC
ACH-002029,HNSC
ACH-001641,HNSC
ACH-002305,HNSC
ACH-001496,ESCA
ACH-001497,ESCA
ACH-001500,ESCA
ACH-002243,ESCA
ACH-001544,ESCA
ACH-002263,ESCA
ACH-002264,ESCA
ACH-001368,ESCA
ACH-002292,ESCA
ACH-001654,ESCA
ACH-002311,ESCA
ACH-002218,LAML
ACH-002222,LAML
ACH-002258,LAML
ACH-002290,LAML
ACH-002299,LAML
ACH-002211,
ACH-002255,
ACH-002272,
ACH-002275,
ACH-001639,
ACH-002308,
ACH-001680,
ACH-002214,DLBC
ACH-002220,DLBC
ACH-002221,DLBC
ACH-001498,DLBC
ACH-002253,DLBC
ACH-002254,DLBC
ACH-001638,DLBC
ACH-001642,DLBC
ACH-002062,DLBC
ACH-002307,DLBC
ACH-002313,DLBC
ACH-002314,DLBC
ACH-001703,DLBC
ACH-002236,
ACH-002252,
ACH-002293,
ACH-002300,
ACH-002302,LCML
ACH-002270,MM
ACH-002242,
ACH-002274,
ACH-002339,
ACH-002245,
ACH-002262,LAML
ACH-002209,ALL
ACH-002216,ALL
ACH-002238,ALL
ACH-002241,ALL
ACH-002256,ALL
ACH-002267,ALL
ACH-002059,ALL
ACH-002058,ALL
ACH-002240,
ACH-002316,
ACH-001709,
ACH-002317,ALL
ACH-002210,MM
ACH-002247,MM
ACH-002099,
ACH-002094,
ACH-002103,
ACH-002104,
ACH-002105,
ACH-002106,
ACH-002108,
ACH-002109,
ACH-002110,
ACH-002111,
ACH-002112,
ACH-002113,
ACH-002114,
ACH-002115,
ACH-002116,
ACH-002117,
ACH-002118,
ACH-002119,
ACH-001715,
ACH-002142,
ACH-001526,
ACH-002067,
ACH-002178,
ACH-001820,BRCA
ACH-001358,BRCA
ACH-001819,BRCA
ACH-002163,BRCA
ACH-002179,BRCA
ACH-001494,
ACH-002237,
ACH-001861,
ACH-002312,
ACH-002345,COAD/READ
ACH-001345,COAD/READ
ACH-001081,COAD/READ
ACH-002287,COAD/READ
ACH-002122,STAD
ACH-002141,STAD
ACH-002161,STAD
ACH-002301,STAD
ACH-002198,STAD
ACH-001653,STAD
ACH-001401,ACC
ACH-002090,KIRC
ACH-002139,KIRC
ACH-002150,KIRC
ACH-002151,KIRC
ACH-002155,KIRC
ACH-002167,KIRC
ACH-002168,KIRC
ACH-002187,KIRC
ACH-002188,KIRC
